,y_avg,y_avg,y_peak,y_peak
2021-03-05,21.916666666666668,24.0,23.125,26.0
2021-03-06,46.333333333333336,107.0,49.791666666666664,116.0
2021-03-07,104.29166666666667,175.0,112.33333333333333,182.0
2021-03-08,125.45833333333333,166.0,136.04166666666666,180.0
2021-03-09,127.0,172.0,136.0,181.0
2021-03-10,126.16666666666667,166.0,133.29166666666666,177.0
2021-03-11,127.33333333333333,168.0,135.5,175.0
2021-03-12,21.916666666666668,24.0,23.125,26.0
2021-03-13,46.333333333333336,107.0,49.791666666666664,116.0
2021-03-14,112.33333333333333,186.0,123.04166666666667,204.0
2021-03-15,137.875,188.0,147.83333333333334,198.0
2021-03-16,135.5,180.0,145.625,193.0
2021-03-17,140.45833333333334,190.0,149.375,197.0
2021-03-18,133.70833333333334,177.0,144.08333333333334,186.0
2021-03-19,21.916666666666668,24.0,23.125,26.0
2021-03-20,46.333333333333336,107.0,49.791666666666664,116.0
2021-03-21,111.08333333333333,190.0,119.5,208.0
2021-03-22,134.0,172.0,146.16666666666666,189.0
2021-03-23,129.08333333333334,163.0,139.16666666666666,174.0
2021-03-24,135.83333333333334,182.0,147.58333333333334,190.0
2021-03-25,134.95833333333334,180.0,146.25,186.0
2021-03-26,21.916666666666668,24.0,23.125,26.0
2021-03-27,46.333333333333336,107.0,49.791666666666664,116.0
2021-03-28,110.66666666666667,185.0,118.83333333333333,198.0
2021-03-29,138.04166666666666,202.0,148.33333333333334,222.0
2021-03-30,131.79166666666666,180.0,142.20833333333334,193.0
2021-03-31,21.916666666666668,24.0,23.125,26.0
2021-04-01,101.08333333333333,179.0,110.5,184.0
2021-04-02,130.70833333333334,173.0,140.91666666666666,181.0
2021-04-03,45.625,109.0,49.041666666666664,118.0
2021-04-04,21.625,24.0,22.791666666666668,26.0
2021-04-05,101.08333333333333,179.0,110.5,184.0
2021-04-06,130.70833333333334,173.0,140.91666666666666,181.0
2021-04-07,103.58333333333333,186.0,113.45833333333333,199.0
2021-04-08,119.83333333333333,172.0,129.25,181.0
2021-04-09,102.91666666666667,177.0,112.04166666666667,184.0
2021-04-10,45.833333333333336,106.0,50.083333333333336,115.0
2021-04-11,20.625,23.0,21.875,25.0
2021-04-12,123.70833333333333,177.0,133.5,182.0
2021-04-13,123.70833333333333,177.0,133.5,182.0
2021-04-14,123.70833333333333,177.0,133.5,182.0
2021-04-15,123.70833333333333,177.0,133.5,182.0
2021-04-16,123.70833333333333,177.0,133.5,182.0
2021-04-17,45.833333333333336,106.0,50.083333333333336,115.0
2021-04-18,20.625,23.0,21.875,25.0
2021-04-19,99.25,164.0,108.20833333333333,172.0
2021-04-20,99.25,164.0,108.20833333333333,172.0
2021-04-21,122.5,163.0,133.08333333333334,174.0
2021-04-22,122.5,163.0,133.08333333333334,174.0
2021-04-23,122.5,163.0,133.08333333333334,174.0
2021-04-24,43.125,102.0,47.083333333333336,112.0
2021-04-25,20.625,23.0,21.875,25.0
2021-04-26,118.70833333333333,165.0,129.41666666666666,176.0
2021-04-27,118.70833333333333,165.0,129.41666666666666,176.0
2021-04-28,121.54166666666667,167.0,131.33333333333334,175.0
2021-04-29,121.54166666666667,167.0,131.33333333333334,175.0
2021-04-30,122.5,163.0,133.08333333333334,174.0
2021-05-01,45.625,109.0,49.041666666666664,118.0
2021-05-02,21.625,24.0,22.791666666666668,26.0
2021-05-03,101.08333333333333,179.0,110.5,184.0
2021-05-04,130.70833333333334,173.0,140.91666666666666,181.0
2021-05-05,45.791666666666664,112.0,49.5,120.0
2021-05-06,103.58333333333333,186.0,113.45833333333333,199.0
2021-05-07,119.83333333333333,172.0,129.25,181.0
2021-05-08,45.833333333333336,106.0,50.083333333333336,115.0
2021-05-09,102.91666666666667,177.0,112.04166666666667,184.0
2021-05-10,102.91666666666667,177.0,112.04166666666667,184.0
2021-05-11,127.25,176.0,136.75,185.0
2021-05-12,126.08333333333333,178.0,138.41666666666666,184.0
2021-05-13,122.125,168.0,132.33333333333334,176.0
2021-05-14,117.16666666666667,150.0,126.95833333333333,157.0
2021-05-15,42.458333333333336,101.0,45.625,105.0
2021-05-16,20.625,23.0,21.875,25.0
2021-05-17,100.04166666666667,174.0,109.66666666666667,192.0
2021-05-18,123.70833333333333,177.0,133.5,182.0
2021-05-19,42.083333333333336,97.0,46.458333333333336,108.0
2021-05-20,97.125,172.0,105.0,181.0
2021-05-21,116.79166666666667,156.0,125.33333333333333,160.0
2021-05-22,43.125,102.0,47.083333333333336,112.0
2021-05-23,21.25,23.0,22.375,25.0
2021-05-24,99.25,164.0,108.20833333333333,172.0
2021-05-25,122.5,163.0,133.08333333333334,174.0
2021-05-26,119.58333333333333,157.0,129.66666666666666,166.0
2021-05-27,118.70833333333333,165.0,129.41666666666666,176.0
2021-05-28,121.54166666666667,167.0,131.33333333333334,175.0
2021-05-29,43.916666666666664,102.0,47.708333333333336,107.0
2021-05-30,21.916666666666668,24.0,23.125,26.0
2021-05-31,100.875,169.0,109.04166666666667,172.0
2021-06-01,128.95833333333334,179.0,139.16666666666666,195.0
2021-06-02,129.54166666666666,182.0,139.54166666666666,191.0
2021-06-03,127.375,170.0,136.375,181.0
2021-06-04,121.5,160.0,131.33333333333334,173.0
2021-06-05,46.333333333333336,107.0,49.791666666666664,116.0
2021-06-06,22.875,25.0,23.958333333333332,27.0
2021-06-07,104.29166666666667,175.0,112.375,182.0
2021-06-08,125.45833333333333,166.0,136.04166666666666,180.0
2021-06-09,127.0,172.0,136.0,181.0
2021-06-10,126.16666666666667,166.0,133.29166666666666,177.0
2021-06-11,127.33333333333333,168.0,135.5,175.0
2021-06-12,47.333333333333336,109.0,51.208333333333336,113.0
2021-06-13,22.875,25.0,23.833333333333332,27.0
2021-06-14,112.33333333333333,186.0,123.04166666666667,204.0
2021-06-15,137.875,188.0,147.83333333333334,198.0
2021-06-16,135.5,180.0,145.625,193.0
2021-06-17,140.45833333333334,190.0,149.375,197.0
2021-06-18,133.70833333333334,177.0,144.08333333333334,186.0
2021-06-19,46.375,115.0,50.125,119.0
2021-06-20,22.958333333333332,25.0,24.0,28.0
2021-06-21,112.5,190.0,122.66666666666667,208.0
2021-06-22,134.0,172.0,146.16666666666666,189.0
2021-06-23,129.08333333333334,163.0,139.16666666666666,174.0
2021-06-24,135.83333333333334,182.0,147.58333333333334,190.0
2021-06-25,134.95833333333334,180.0,146.25,186.0
2021-06-26,50.25,125.0,54.291666666666664,131.0
2021-06-27,24.291666666666668,26.0,25.25,31.0
2021-06-28,112.20833333333333,185.0,121.79166666666667,198.0
2021-06-29,138.04166666666666,202.0,148.33333333333334,222.0
2021-06-30,131.79166666666666,180.0,142.20833333333334,193.0
2021-07-01,138.91666666666666,190.0,149.16666666666666,206.0
2021-07-02,131.70833333333334,179.0,141.70833333333334,187.0
2021-07-03,45.416666666666664,106.0,49.708333333333336,112.0
2021-07-04,23.333333333333332,26.0,24.625,28.0
2021-07-05,105.75,173.0,115.33333333333333,185.0
2021-07-06,133.08333333333334,180.0,142.29166666666666,193.0
2021-07-07,134.875,181.0,145.45833333333334,203.0
2021-07-08,136.33333333333334,190.0,146.33333333333334,201.0
2021-07-09,131.5,181.0,140.66666666666666,192.0
2021-07-10,46.208333333333336,101.0,50.083333333333336,106.0
2021-07-11,23.541666666666668,26.0,24.625,28.0
2021-07-12,111.95833333333333,191.0,122.83333333333333,198.0
2021-07-13,136.08333333333334,188.0,145.375,190.0
2021-07-14,131.25,185.0,141.04166666666666,195.0
2021-07-15,135.66666666666666,198.0,143.58333333333334,202.0
2021-07-16,132.20833333333334,188.0,143.91666666666666,197.0
2021-07-17,44.0,101.0,49.083333333333336,110.0
2021-07-18,23.625,25.0,24.708333333333332,28.0
2021-07-19,114.41666666666667,199.0,127.16666666666667,222.0
2021-07-20,140.45833333333334,191.0,151.375,201.0
2021-07-21,140.875,204.0,152.125,214.0
2021-07-22,135.375,197.0,144.91666666666666,213.0
2021-07-23,136.04166666666666,191.0,146.58333333333334,206.0
2021-07-24,45.0,97.0,48.333333333333336,104.0
2021-07-25,24.541666666666668,26.0,25.541666666666668,29.0
2021-07-26,111.66666666666667,198.0,123.29166666666667,217.0
2021-07-27,145.16666666666666,207.0,155.45833333333334,211.0
2021-07-28,145.66666666666666,208.0,157.0,212.0
2021-07-29,142.83333333333334,207.0,153.91666666666666,211.0
2021-07-30,145.66666666666666,208.0,157.0,212.0
2021-07-31,21.541666666666668,23.0,22.416666666666668,28.0
2021-08-01,21.583333333333332,23.0,22.833333333333332,28.0
2021-08-02,21.458333333333332,23.0,22.708333333333332,26.0
2021-08-03,21.625,23.0,22.833333333333332,26.0
2021-08-04,21.375,23.0,22.583333333333332,26.0
2021-08-05,21.541666666666668,23.0,22.75,26.0
2021-08-06,21.875,24.0,22.75,27.0
2021-08-07,21.666666666666668,24.0,22.666666666666668,26.0
2021-08-08,21.375,23.0,22.375,26.0
2021-08-09,107.66666666666667,193.0,116.75,215.0
2021-08-10,132.875,185.0,142.33333333333334,195.0
2021-08-11,139.0,203.0,150.79166666666666,218.0
2021-08-12,137.45833333333334,188.0,148.29166666666666,199.0
2021-08-13,139.41666666666666,196.0,151.625,207.0
2021-08-14,42.958333333333336,107.0,46.25,108.0
2021-08-15,22.166666666666668,23.0,23.166666666666668,28.0
2021-08-16,91.54166666666667,183.0,98.95833333333333,190.0
2021-08-17,124.58333333333333,169.0,133.41666666666666,173.0
2021-08-18,129.58333333333334,179.0,141.16666666666666,188.0
2021-08-19,132.95833333333334,177.0,143.08333333333334,188.0
2021-08-20,130.45833333333334,187.0,140.66666666666666,193.0
2021-08-21,45.041666666666664,104.0,48.416666666666664,110.0
2021-08-22,22.833333333333332,25.0,23.916666666666668,27.0
2021-08-23,108.66666666666667,184.0,118.20833333333333,196.0
2021-08-24,136.33333333333334,187.0,145.25,201.0
2021-08-25,134.08333333333334,177.0,144.20833333333334,189.0
2021-08-26,138.45833333333334,195.0,147.83333333333334,202.0
2021-08-27,128.95833333333334,181.0,138.16666666666666,190.0
2021-08-28,51.416666666666664,111.0,60.88194444444445,119.0
2021-08-29,19.916666666666668,26.0,26.305555555555557,41.0
2021-08-30,107.95833333333333,172.0,117.0,186.0
2021-08-31,134.75,182.0,144.79166666666666,187.0
2021-09-01,139.29166666666666,185.0,149.83333333333334,198.0
2021-09-02,139.79166666666666,192.0,149.625,198.0
2021-09-03,132.375,187.0,140.58333333333334,190.0
2021-09-04,51.208333333333336,111.0,55.5,116.0
2021-09-05,22.875,25.0,23.875,28.0
2021-09-06,103.83333333333333,176.0,111.45833333333333,190.0
2021-09-07,136.70833333333334,182.0,147.95833333333334,192.0
2021-09-08,128.20833333333334,171.0,139.75,183.0
2021-09-09,133.91666666666666,174.0,143.83333333333334,190.0
2021-09-10,134.16666666666666,184.0,145.08333333333334,204.0
2021-09-11,42.833333333333336,97.0,47.041666666666664,107.0
2021-09-12,23.333333333333332,25.0,24.208333333333332,28.0
2021-09-13,111.0,185.0,120.5,196.0
2021-09-14,132.58333333333334,174.0,142.16666666666666,184.0
